"business_status";"lat";"lng";"icon";"name";"place_id";"price_level";"photo_reference";"rating";"place_types";"user_ratings_total";"address"
"OPERATIONAL";18.4644444;-66.10677319999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"La Burguett";"ChIJq33fpMRuA4wRLTfzRUMvq6o";2.0;"ATtYBwLQI2e_kNya_1T9_c8wgN6bGJ4kU_ak6zQNO0H5IbkvZ8QfSBkp-qenEc6GihHeJZP9jTsOIUpYg5MrQ7IWiMhV4NcK_8QNLn8GWzgE9IeRlGjfAEgqBJcbxZPhATEaRZMdfT6xM81LhoFTuHXrF8ogycLiDswV0zlbWn5djSjrqv3t";4.6;"['restaurant', 'food', 'point_of_interest', 'establishment']";538;"Capitolio Plaza #503, Calle Marina, San Juan"
"OPERATIONAL";18.464273;-66.1068307;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"La Burguett";"ChIJ0RyNu8RuA4wRvMrybcxCc4w";0.0;"ATtYBwK5l37RZaK5IYft2VA8Bn-TZibF75Ehk1Z9U6Jab0T5Ax2XG_CvnfYC870R6s4vR9MbBhl4tq1kMoW2weE9Q8G5pw-5ijuJfZV2h2_OjnLtZ4OvRD27_mHgP-rTaH5QUO-yU8wJ87obd4vVVglsjxSkyiA0z3h96rSKKVd_Nl0GNB8r";4.3;"['restaurant', 'food', 'point_of_interest', 'establishment']";41;"100 Calle Marina, San Juan"
"OPERATIONAL";18.4644197;-66.1110415;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Frappe Maker";"ChIJifr9GcRuA4wRQNVYYp4_Tlo";0.0;"ATtYBwKtOY9fFKYfUlWBlU6cjKa4aeRrcpuOLihs-RaniNmjU-u-sZHYAPDDeoSWhpxkZ7HhA1HOx8Iyuqh-18321-jJmmpqKapoQLvxgD3_rkpAnvMAOPAsd5TrGxgPo0KgaeVsiT6qmKELSieiI0mDcQsKgMy6xT_ktyS7tpfWkdi9XCLa";4.5;"['restaurant', 'food', 'point_of_interest', 'establishment']";39;"Calle Juan Antonio Corretjer, San Juan"
"OPERATIONAL";18.4666186;-66.11173169999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"La Bodega Del Viejo San Juan";"ChIJM-77WMFuA4wRPx6LJV3-CIo";2.0;"ATtYBwK5-4HDCJlizmMGsbFaS1nTdaOdiUFs26p1jPbhUxaiWNfINsOFb8YurRX3xvwmQkasSyj1qoeTyjHjsx06em88Z9ZVi4bXe3yDw6em2-24X_cZRn3SmrEzw4tpdXMvWVU3g1ivtGSjAt0nQYt4TilRtLYjHzqudBFKi7-zbUPMdP0M";4.5;"['restaurant', 'food', 'point_of_interest', 'establishment']";335;"413 Calle de San Francisco, San Juan"
"OPERATIONAL";18.4653897;-66.1123746;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png";"Starbucks";"ChIJv17IrcZuA4wRGKtS2WPESZY";2.0;"ATtYBwJKw0gDRsSTnprIpQLCXRtfuhZuCSJSbZSLeJT7tgmyqY1p9b4MLekK2NmDaViOGt2QfeRtgnIuld9BLCgb4qnqYaPxMsXUNevyFp8GGzbHQ5r5nAEZIg5zmG6rCozYrdffrng7hKGLxTLWJSQmpNBfFMQ37ng9iXKJEZgDmwpngnhH";4.4;"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']";807;"363 Calle de Tetuan #1, San Juan"
"OPERATIONAL";18.46629609999999;-66.11261999999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Mavi";"ChIJ36TAT8FuA4wRw2thK3tFxmI";0.0;"ATtYBwLqElAoTojLbO9hsgwh1j7T1UkMoEi2ZF-H8iFWanGnN5JkcGEgn6ZcuO-SydcIn8GjgdkZ9Xu0Slk7ontqPMMdy1W16ixhu7no9Wm9nOIJkJ0hJwQYTpuMF50crBh1mOMhkK4MPIYmbMrhz8ICEIBlhkmdyL_KTm4RbhOK5No-D7AZ";4.5;"['restaurant', 'food', 'point_of_interest', 'establishment']";73;"366 Calle de San Francisco, San Juan"
"OPERATIONAL";18.4665276;-66.1128557;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"La Ó";"ChIJfZj4RcFuA4wRGcczqz0vphI";0.0;"ATtYBwISn8xKOd3pde6je-94-JWnj6llRTmVPAlqvauikqA_lx98W_9ncfVQ2SN2m0nHDuCn1-0ddqgMc6HJJY_2V1gAxWYOQ8GmFNCt77XT3FnOgLDNm2qQ21doyz4ww0TxHWUT1ieAJfmA_7ejtJQjsjeicG9-A1wkqyE3vghSg3bICwLI";4.5;"['restaurant', 'food', 'point_of_interest', 'establishment']";228;"355 Calle de San Francisco, San Juan"
"OPERATIONAL";18.464678;-66.11282899999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Vaca Brava";"ChIJbROIHcduA4wRmlNu7e_fYac";2.0;"ATtYBwLqmar6IP0JQ7jwHuKbi5MNH0TNiyaJcK85ZCva1ZaF4igLjtLTPkLvpsLzRukTWemi2P8WBgCul6HisbZz-gH4Cmx7En6eXyY93Jn7mZRxYslBBO7cKXXiFZSYOqVE8KTwmM39teJNF-U4gNQdrSYDSQxxw0_u1dEtSUyNgWpLBmVD";4.3;"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']";1819;"Local 2-2, #29 Calle Recinto Sur, San Juan"
"OPERATIONAL";18.4661942;-66.1133251;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"El Asador";"ChIJkxU8NsFuA4wRBR-7L0YSdGQ";2.0;"ATtYBwJ8y4WrdkdrwnM2uxeHNIoVuZuBCiMvzAiZLiReMqR87yqFKaZWvrcL_9QuGWdMOJya1v4KUMpWa-NsjygtljesOwlRE1mku-lLQi6zdWBGKl-EaFdvg0q1w6km9DiTfW_wl7usBCsC3GmdBueqfUUhLmnpGHbIeuuo4Ktvbxe4rw9A";4.4;"['restaurant', 'food', 'point_of_interest', 'establishment']";317;"350 Calle de San Francisco, San Juan"
"OPERATIONAL";18.4656766;-66.1133748;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Marmalade";"ChIJYXyNtcZuA4wRNttsW6Mi8gQ";0.0;"ATtYBwJMatAIibfVZQRCjE0XXzWmh7h7KyAxdPELR0Kj1IhSMU2Y_Hjbmn8F2KsDmwPJoQU0eRS2dB8aMBbHu1TMAk90_Fhs6eIh5N0ER1fTjAclL2Cg3KHHFB1w9TB360z55qEYd2nWYEYhBUv8FOGG9hrhRQMWVrOAXWOHcFfLtohKnAYE";4.8;"['restaurant', 'food', 'point_of_interest', 'establishment']";787;"317 Calle de la Fortaleza, San Juan"
